,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
,,8632,152.1,210,0,0,1,0.3,0.3,0,0,3,0.1,0.1,0,0,2,0.6,0.6,0,0,13,1.9,2,0.01,0,25,4.7,4.8,0.02,0,113,27,27.6,0.15,0,294,88.5,90.6,0.45,0,607,214.3,219.3,1.09,0,976,374.3,383.6,1.92,0,1165,499.1,511.4,2.56,0,1093,540.9,554,2.78,0,1070,578.8,593.5,2.97,0,954,690.4,709,3.55,0,846,748.9,765.8,3.83,0,501,796.3,815.5,4.08,0,396,549.4,562.4,2.81,0,247,626,642.5,3.22,0,201,430.9,441.1,0,
North America,"Canada, Alberta (1969-1972)",1785,55.8,57.4,..,"Canada, Alberta (1969-1972)",0,0,0,0,"Canada, Alberta (1969-1972)",0,0,0,0,"Canada, Alberta (1969-1972)",0,0,0,0,"Canada, Alberta (1969-1972)",0,0,0,0,"  Canada, Alberta (1969-1972)",3,1,1,0.01,"Canada, Alberta (1969-1972)",17,7.2,7.2,0.04,"Canada, Alberta (1969-1972)",42,21.4,21.4,0.11,"Canada, Alberta (1969-1972)",84,44.8,44.8,0.22,"Canada, Alberta (1969-1972)",186,102.4,102.4,0.51,"Canada, Alberta (1969-1972)",257,146.7,146.7,0.73,"Canada, Alberta (1969-1972)",256,172.8,172.8,0.86,"Canada, Alberta (1969-1972)",229,177.7,177.7,0.89,"Canada, Alberta (1969-1972)",190,186.8,186.8,0.93,"Canada, Alberta (1969-1972)",131,162.5,162.5,0.81,"Canada, Alberta (1969-1972)",131,217.3,217.3,1.09,"Canada, Alberta (1969-1972)",109,245.4,245.4,1.23,"Canada, Alberta (1969-1972)",89,297.5,297.5,1.49,"Canada, Alberta (1969-1972)",61,279.6,279.6,..,
North America,"  Canada, British Columbia (1969-1972)",4028,92.9,80,..,"  Canada, British Columbia (1969-1972)",0,0,0,0,"  Canada, British Columbia (1969-1972)",0,0,0,0,"  Canada, British Columbia (1969-1972)",0,0,0,0,"  Canada, British Columbia (1969-1972)",3,0.8,0.8,0,"  Canada, British Columbia (1969-1972)",3,0.8,0.8,0,"  Canada, British Columbia (1969-1972)",36,11.5,11.5,0.06,"  Canada, British Columbia (1969-1972)",60,23.2,23.2,0.12,"  Canada, British Columbia (1969-1972)",153,63.5,63.6,0.32,"  Canada, British Columbia (1969-1972)",319,129.4,129.4,0.65,"  Canada, British Columbia (1969-1972)",570,218.6,218.7,1.09,"  Canada, British Columbia (1969-1972)",573,243.2,243.2,1.22,"  Canada, British Columbia (1969-1972)",492,227.1,227.1,1.14,"  Canada, British Columbia (1969-1972)",431,252.7,252.8,1.26,"  Canada, British Columbia (1969-1972)",390,286.5,286.5,1.43,"  Canada, British Columbia (1969-1972)",326,297.9,298,1.49,"  Canada, British Columbia (1969-1972)",293,337.9,338,1.69,"  Canada, British Columbia (1969-1972)",212,349.5,349.6,1.75,"  Canada, British Columbia (1969-1972)",166,369.9,370,..,
North America,"  Canada, Manitoba (1969-1972)",1457,73.8,64.2,..,"  Canada, Manitoba (1969-1972)",0,0,0,0,"  Canada, Manitoba (1969-1972)",0,0,0,0,"  Canada, Manitoba (1969-1972)",0,0,0,0,"  Canada, Manitoba (1969-1972)",0,0,0,0,"  Canada, Manitoba (1969-1972)",4,2.4,2.4,0.01,"  Canada, Manitoba (1969-1972)",6,4.6,4.6,0.02,"  Canada, Manitoba (1969-1972)",13,12.1,12.1,0.06,"  Canada, Manitoba (1969-1972)",66,64,64.1,0.32,"  Canada, Manitoba (1969-1972)",123,115.1,115.4,0.58,"  Canada, Manitoba (1969-1972)",186,160.2,160.6,0.8,"  Canada, Manitoba (1969-1972)",203,195.4,196,0.98,"  Canada, Manitoba (1969-1972)",187,188.8,189.3,0.95,"  Canada, Manitoba (1969-1972)",165,205.8,206.4,1.03,"  Canada, Manitoba (1969-1972)",154,232.3,233,1.16,"  Canada, Manitoba (1969-1972)",117,228.5,229.1,1.15,"  Canada, Manitoba (1969-1972)",111,274.2,275,1.37,"  Canada, Manitoba (1969-1972)",71,265.5,266.3,1.33,"  Canada, Manitoba (1969-1972)",47,235.7,236.4,..,
North America,"  Canada, Maritime Provinces (1969-1972)",1957,64.1,58.6,..,"  Canada, Maritime Provinces (1969-1972)",0,0,0,0,"  Canada, Maritime Provinces (1969-1972)",0,0,0,0,"  Canada, Maritime Provinces (1969-1972)",0,0,0,0,"  Canada, Maritime Provinces (1969-1972)",0,0,0,0,"  Canada, Maritime Provinces (1969-1972)",3,1.1,1.1,0.01,"  Canada, Maritime Provinces (1969-1972)",14,7.2,7.2,0.04,"  Canada, Maritime Provinces (1969-1972)",30,18.6,18.6,0.09,"  Canada, Maritime Provinces (1969-1972)",75,48.1,48.1,0.24,"  Canada, Maritime Provinces (1969-1972)",158,103.1,103.1,0.52,"  Canada, Maritime Provinces (1969-1972)",220,137.2,137.2,0.69,"  Canada, Maritime Provinces (1969-1972)",252,165.1,165.1,0.83,"  Canada, Maritime Provinces (1969-1972)",259,184.4,184.4,0.92,"  Canada, Maritime Provinces (1969-1972)",230,200.7,200.7,1,"  Canada, Maritime Provinces (1969-1972)",193,202.7,202.7,1.01,"  Canada, Maritime Provinces (1969-1972)",182,233,233,1.16,"  Canada, Maritime Provinces (1969-1972)",161,260.1,260.1,1.3,"  Canada, Maritime Provinces (1969-1972)",110,283.5,283.5,1.42,"  Canada, Maritime Provinces (1969-1972)",70,228.9,228.9,..,
North America,"  Canada, Newfoundland (1969-1972)",369,36,43.8,..,"  Canada, Newfoundland (1969-1972)",0,0,0,0,"  Canada, Newfoundland (1969-1972)",0,0,0,0,"  Canada, Newfoundland (1969-1972)",0,0,0,0,"  Canada, Newfoundland (1969-1972)",0,0,0,0,"  Canada, Newfoundland (1969-1972)",1,1.1,1.1,0.01,"  Canada, Newfoundland (1969-1972)",5,7.2,7.3,0.04,"  Canada, Newfoundland (1969-1972)",7,13,13.1,0.07,"  Canada, Newfoundland (1969-1972)",23,47.8,48.1,0.24,"  Canada, Newfoundland (1969-1972)",35,76.4,76.8,0.38,"  Canada, Newfoundland (1969-1972)",48,109.8,110.4,0.55,"  Canada, Newfoundland (1969-1972)",37,88.6,89.1,0.45,"  Canada, Newfoundland (1969-1972)",54,145.5,146.3,0.73,"  Canada, Newfoundland (1969-1972)",43,150.8,151.6,0.76,"  Canada, Newfoundland (1969-1972)",36,160.4,161.3,0.81,"  Canada, Newfoundland (1969-1972)",34,183.4,184.4,0.92,"  Canada, Newfoundland (1969-1972)",17,129,129.7,0.65,"  Canada, Newfoundland (1969-1972)",19,242.3,243.7,1.22,"  Canada, Newfoundland (1969-1972)",8,156.3,157.1,..,
North America,"  Canada, Quebec (1969-1972)",6959,57.4,56.9,..,"  Canada, Quebec (1969-1972)",0,0,0,0,"  Canada, Quebec (1969-1972)",0,0,0,0,"  Canada, Quebec (1969-1972)",1,0.1,0.1,0,"  Canada, Quebec (1969-1972)",1,0.1,0.1,0,"  Canada, Quebec (1969-1972)",20,1.8,1.8,0.01,"  Canada, Quebec (1969-1972)",61,6.4,6.5,0.03,"  Canada, Quebec (1969-1972)",161,21.3,21.6,0.11,"  Canada, Quebec (1969-1972)",333,46.1,46.7,0.23,"  Canada, Quebec (1969-1972)",642,89.1,90.3,0.45,"  Canada, Quebec (1969-1972)",1008,146.1,148.2,0.74,"  Canada, Quebec (1969-1972)",988,170,172.4,0.86,"  Canada, Quebec (1969-1972)",922,177.3,179.8,0.9,"  Canada, Quebec (1969-1972)",798,184,186.6,0.93,"  Canada, Quebec (1969-1972)",686,197.4,200.1,1,"  Canada, Quebec (1969-1972)",497,195.8,198.5,0.99,"  Canada, Quebec (1969-1972)",391,230.5,233.7,1.17,"  Canada, Quebec (1969-1972)",224,226.5,229.7,1.15,"  Canada, Quebec (1969-1972)",131,218.5,221.5,..,
North America,"  Canada, Saskatchewan (1969-1972)",1330,73,62.8,..,"  Canada, Saskatchewan (1969-1972)",0,0,0,0,"  Canada, Saskatchewan (1969-1972)",0,0,0,0,"  Canada, Saskatchewan (1969-1972)",0,0,0,0,"  Canada, Saskatchewan (1969-1972)",0,0,0,0,"  Canada, Saskatchewan (1969-1972)",2,1.5,1.5,0.01,"  Canada, Saskatchewan (1969-1972)",11,10.5,10.5,0.05,"  Canada, Saskatchewan (1969-1972)",10,10.6,10.7,0.05,"  Canada, Saskatchewan (1969-1972)",44,46.6,46.6,0.23,"  Canada, Saskatchewan (1969-1972)",119,120.3,120.4,0.6,"  Canada, Saskatchewan (1969-1972)",161,155.2,155.3,0.78,"  Canada, Saskatchewan (1969-1972)",164,165.5,165.6,0.83,"  Canada, Saskatchewan (1969-1972)",171,185,185.2,0.93,"  Canada, Saskatchewan (1969-1972)",155,207.1,207.3,1.04,"  Canada, Saskatchewan (1969-1972)",147,246.4,246.6,1.23,"  Canada, Saskatchewan (1969-1972)",112,238.6,238.8,1.19,"  Canada, Saskatchewan (1969-1972)",94,254.6,254.8,1.27,"  Canada, Saskatchewan (1969-1972)",73,275.7,275.9,1.38,"  Canada, Saskatchewan (1969-1972)",66,348.5,348.7,..,
North America,"  USA, California, Alameda County: Black (1969-1973)",223,53.6,56.5,..,"  USA, California, Alameda County: Black (1969-1973)",0,0,0,0,"  USA, California, Alameda County: Black (1969-1973)",0,0,0,0,"  USA, California, Alameda County: Black (1969-1973)",0,0,0,0,"  USA, California, Alameda County: Black (1969-1973)",0,0,0,0,"  USA, California, Alameda County: Black (1969-1973)",1,2.6,2.6,0.01,"  USA, California, Alameda County: Black (1969-1973)",4,12.8,12.8,0.06,"  USA, California, Alameda County: Black (1969-1973)",10,39.8,39.8,0.2,"  USA, California, Alameda County: Black (1969-1973)",17,73.5,73.5,0.37,"  USA, California, Alameda County: Black (1969-1973)",26,107,107,0.53,"  USA, California, Alameda County: Black (1969-1973)",27,103.4,103.4,0.52,"  USA, California, Alameda County: Black (1969-1973)",40,181.9,181.9,0.91,"  USA, California, Alameda County: Black (1969-1973)",29,166.3,166.3,0.83,"  USA, California, Alameda County: Black (1969-1973)",19,146.5,146.5,0.73,"  USA, California, Alameda County: Black (1969-1973)",19,185.6,185.6,0.93,"  USA, California, Alameda County: Black (1969-1973)",14,225.3,225.3,1.13,"  USA, California, Alameda County: Black (1969-1973)",7,170.9,170.9,0.85,"  USA, California, Alameda County: Black (1969-1973)",4,180.6,180.6,0.9,"  USA, California, Alameda County: Black (1969-1973)",6,320,320,..,
North America,"  USA, California, Alameda County: White (1969-1973)",2092,95.8,76.1,..,"  USA, California, Alameda County: White (1969-1973)",0,0,0,0,"  USA, California, Alameda County: White (1969-1973)",0,0,0,0,"  USA, California, Alameda County: White (1969-1973)",0,0,0,0,"  USA, California, Alameda County: White (1969-1973)",0,0,0,0,"  USA, California, Alameda County: White (1969-1973)",3,1.4,1.4,0.01,"  USA, California, Alameda County: White (1969-1973)",13,7.7,7.7,0.04,"  USA, California, Alameda County: White (1969-1973)",28,22.3,22.3,0.11,"  USA, California, Alameda County: White (1969-1973)",72,64.3,64.3,0.32,"  USA, California, Alameda County: White (1969-1973)",148,117.1,117.1,0.59,"  USA, California, Alameda County: White (1969-1973)",267,194.6,194.6,0.97,"  USA, California, Alameda County: White (1969-1973)",260,211,211,1.06,"  USA, California, Alameda County: White (1969-1973)",255,231.8,231.8,1.16,"  USA, California, Alameda County: White (1969-1973)",286,307.3,307.3,1.54,"  USA, California, Alameda County: White (1969-1973)",199,256.5,256.5,1.28,"  USA, California, Alameda County: White (1969-1973)",185,265.8,265.8,1.33,"  USA, California, Alameda County: White (1969-1973)",161,294.1,294.1,1.47,"  USA, California, Alameda County: White (1969-1973)",107,286.3,286.3,1.43,"  USA, California, Alameda County: White (1969-1973)",108,390,390,..,
North America,"  USA, California, San Francisco: Black (1969-1973)",440,52,57.9,..,"  USA, California, San Francisco: Black (1969-1973)",0,0,0,0,"  USA, California, San Francisco: Black (1969-1973)",0,0,0,0,"  USA, California, San Francisco: Black (1969-1973)",0,0,0,0,"  USA, California, San Francisco: Black (1969-1973)",0,0,0,0,"  USA, California, San Francisco: Black (1969-1973)",2,2.5,2.5,0.01,"  USA, California, San Francisco: Black (1969-1973)",9,14,14,0.07,"  USA, California, San Francisco: Black (1969-1973)",17,31.8,31.8,0.16,"  USA, California, San Francisco: Black (1969-1973)",31,64.7,64.7,0.32,"  USA, California, San Francisco: Black (1969-1973)",50,101.4,101.4,0.51,"  USA, California, San Francisco: Black (1969-1973)",63,121.8,121.8,0.61,"  USA, California, San Francisco: Black (1969-1973)",70,161.1,161.1,0.81,"  USA, California, San Francisco: Black (1969-1973)",50,146,146,0.73,"  USA, California, San Francisco: Black (1969-1973)",51,203.3,203.3,1.02,"  USA, California, San Francisco: Black (1969-1973)",38,199.7,199.7,1,"  USA, California, San Francisco: Black (1969-1973)",27,238.5,238.5,1.19,"  USA, California, San Francisco: Black (1969-1973)",17,242.3,242.3,1.21,"  USA, California, San Francisco: Black (1969-1973)",8,209.2,209.2,1.05,"  USA, California, San Francisco: Black (1969-1973)",7,222.6,222.6,..,
North America,"  USA, California, San Francisco: Chinese (1969-1973)",96,44.8,44,..,"  USA, California, San Francisco: Chinese (1969-1973)",0,0,0,0,"  USA, California, San Francisco: Chinese (1969-1973)",0,0,0,0,"  USA, California, San Francisco: Chinese (1969-1973)",0,0,0,0,"  USA, California, San Francisco: Chinese (1969-1973)",0,0,0,0,"  USA, California, San Francisco: Chinese (1969-1973)",0,0,0,0,"  USA, California, San Francisco: Chinese (1969-1973)",0,0,0,0,"  USA, California, San Francisco: Chinese (1969-1973)",3,20.5,20.5,0.1,"  USA, California, San Francisco: Chinese (1969-1973)",7,48.2,48.2,0.24,"  USA, California, San Francisco: Chinese (1969-1973)",15,86.1,86.1,0.43,"  USA, California, San Francisco: Chinese (1969-1973)",14,112.3,112.3,0.56,"  USA, California, San Francisco: Chinese (1969-1973)",7,71.3,71.3,0.36,"  USA, California, San Francisco: Chinese (1969-1973)",11,121.8,121.8,0.61,"  USA, California, San Francisco: Chinese (1969-1973)",15,202.6,202.6,1.01,"  USA, California, San Francisco: Chinese (1969-1973)",14,219.1,219.1,1.1,"  USA, California, San Francisco: Chinese (1969-1973)",3,74.3,74.3,0.37,"  USA, California, San Francisco: Chinese (1969-1973)",3,124.2,124.2,0.62,"  USA, California, San Francisco: Chinese (1969-1973)",2,153.3,153.3,0.77,"  USA, California, San Francisco: Chinese (1969-1973)",2,277.8,277.8,..,
